# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(1.55634243e-07 2.54765811e-07 5.74598226e-04)	(1.21416712e-07 3.36065805e-07 1.16857972e-04)	(3.42175313e-08 -8.12999942e-08 4.57740254e-04)
2               	(1.50224640e-07 4.84264953e-07 6.05417926e-04)	(7.64149165e-08 9.81540496e-07 1.97409110e-04)	(7.38097233e-08 -4.97275543e-07 4.08008815e-04)
3               	(1.17668437e-07 4.83912144e-07 5.73626092e-04)	(5.28521128e-08 1.16006804e-06 1.93661082e-04)	(6.48163243e-08 -6.76155893e-07 3.79965010e-04)
4               	(5.58702307e-08 -5.45308068e-08 4.92241703e-04)	(9.24553381e-09 7.38126764e-07 1.33522085e-04)	(4.66246969e-08 -7.92657570e-07 3.58719618e-04)
5               	(-1.86962095e-09 -7.35298635e-07 4.19628855e-04)	(-2.42047422e-08 1.28092788e-07 7.83193047e-05)	(2.23351212e-08 -8.63391424e-07 3.41309550e-04)
6               	(-3.54216032e-08 -1.18897514e-06 3.90237236e-04)	(-3.05280873e-08 -2.85862552e-07 6.36290863e-05)	(-4.89351597e-09 -9.03112587e-07 3.26608150e-04)
7               	(-3.88815079e-08 -1.28735793e-06 3.99011235e-04)	(-6.14897601e-09 -3.67133215e-07 8.49982866e-05)	(-3.27325319e-08 -9.20224719e-07 3.14012948e-04)
8               	(-4.18125074e-08 -1.17623344e-06 4.18763409e-04)	(2.32621047e-08 -2.54937552e-07 1.15630273e-04)	(-6.50746121e-08 -9.21295889e-07 3.03133135e-04)
9               	(-7.15478161e-08 -1.04655224e-06 4.25487432e-04)	(2.61103725e-08 -1.33015473e-07 1.31817241e-04)	(-9.76581887e-08 -9.13536771e-07 2.93670191e-04)
10              	(-1.40279991e-07 -1.00949991e-06 4.12968326e-04)	(-1.34352334e-08 -1.10257039e-07 1.27581015e-04)	(-1.26844757e-07 -8.99242869e-07 2.85387311e-04)
11              	(-2.30688789e-07 -1.05691102e-06 3.90442634e-04)	(-8.22772519e-08 -1.74811510e-07 1.12342140e-04)	(-1.48411537e-07 -8.82099510e-07 2.78100494e-04)
12              	(-3.27348956e-07 -1.12403099e-06 3.71275318e-04)	(-1.64706071e-07 -2.61832863e-07 9.96108789e-05)	(-1.62642885e-07 -8.62198123e-07 2.71664439e-04)
13              	(-4.01116037e-07 -1.18170634e-06 3.62496074e-04)	(-2.30152433e-07 -3.40732908e-07 9.65459446e-05)	(-1.70963604e-07 -8.40973432e-07 2.65950130e-04)
14              	(-4.45981193e-07 -1.20174664e-06 3.62149176e-04)	(-2.69572449e-07 -3.81542404e-07 1.01301308e-04)	(-1.76408744e-07 -8.20204232e-07 2.60847868e-04)
15              	(-4.61984397e-07 -1.17887459e-06 3.63656750e-04)	(-2.80051205e-07 -3.78320797e-07 1.07387059e-04)	(-1.81933192e-07 -8.00553795e-07 2.56269690e-04)
16              	(-4.61554850e-07 -1.14958092e-06 3.61563991e-04)	(-2.73337129e-07 -3.67958506e-07 1.09423875e-04)	(-1.88217722e-07 -7.81622418e-07 2.52140116e-04)
17              	(-4.59978446e-07 -1.13512109e-06 3.54972509e-04)	(-2.64217674e-07 -3.71064951e-07 1.06568275e-04)	(-1.95760772e-07 -7.64056143e-07 2.48404234e-04)
18              	(-4.62891473e-07 -1.12604639e-06 3.46466778e-04)	(-2.58251705e-07 -3.78879736e-07 1.01442336e-04)	(-2.04639768e-07 -7.47166649e-07 2.45024442e-04)
19              	(-4.69121721e-07 -1.12483260e-06 3.39309515e-04)	(-2.55691158e-07 -3.93736603e-07 9.73389063e-05)	(-2.13430563e-07 -7.31095997e-07 2.41970608e-04)
20              	(-4.68472255e-07 -1.14224019e-06 3.34819545e-04)	(-2.46536493e-07 -4.27114243e-07 9.56041304e-05)	(-2.21935763e-07 -7.15125949e-07 2.39215415e-04)
21              	(-4.63992154e-07 -1.14982920e-06 3.32264801e-04)	(-2.34375209e-07 -4.50685105e-07 9.55337605e-05)	(-2.29616945e-07 -6.99144097e-07 2.36731041e-04)
22              	(-4.45360102e-07 -1.15274368e-06 3.29940397e-04)	(-2.08707997e-07 -4.69375318e-07 9.54492556e-05)	(-2.36652106e-07 -6.83368361e-07 2.34491142e-04)
23              	(-4.22890807e-07 -1.13476248e-06 3.26693206e-04)	(-1.79297611e-07 -4.66818622e-07 9.42214910e-05)	(-2.43593195e-07 -6.67943863e-07 2.32471715e-04)
24              	(-3.88475799e-07 -1.09802530e-06 3.22482440e-04)	(-1.38333312e-07 -4.44817322e-07 9.18299717e-05)	(-2.50142487e-07 -6.53207974e-07 2.30652468e-04)
25              	(-3.46224086e-07 -1.06934720e-06 3.18037079e-04)	(-8.93178390e-08 -4.29955045e-07 8.90226169e-05)	(-2.56906247e-07 -6.39392152e-07 2.29014462e-04)
26              	(-3.08406706e-07 -1.04956744e-06 3.14104301e-04)	(-4.46353064e-08 -4.22875795e-07 8.65612896e-05)	(-2.63771399e-07 -6.26691643e-07 2.27543012e-04)
27              	(-2.70815010e-07 -1.04872793e-06 3.10893934e-04)	(3.55279670e-10 -4.33738764e-07 8.46715244e-05)	(-2.71170289e-07 -6.14989169e-07 2.26222410e-04)
28              	(-2.44106938e-07 -1.04329260e-06 3.08088523e-04)	(3.46680147e-08 -4.39216079e-07 8.30510310e-05)	(-2.78774953e-07 -6.04076519e-07 2.25037492e-04)
29              	(-2.27746940e-07 -1.02005097e-06 3.05241816e-04)	(5.88583500e-08 -4.26624446e-07 8.12669430e-05)	(-2.86605290e-07 -5.93426529e-07 2.23974873e-04)
30              	(-2.12851054e-07 -9.87588424e-07 3.02131589e-04)	(8.14497494e-08 -4.04295379e-07 7.91090947e-05)	(-2.94300803e-07 -5.83293045e-07 2.23022495e-04)
31              	(-2.04362144e-07 -9.43896261e-07 2.98880870e-04)	(9.73658860e-08 -3.70616900e-07 7.67125316e-05)	(-3.01728030e-07 -5.73279361e-07 2.22168338e-04)
32              	(-1.91412455e-07 -8.97131630e-07 2.95739689e-04)	(1.17470461e-07 -3.33787788e-07 7.43393790e-05)	(-3.08882916e-07 -5.63343842e-07 2.21400310e-04)
33              	(-1.81507867e-07 -8.36204729e-07 2.92782840e-04)	(1.33910545e-07 -2.83210495e-07 7.20762356e-05)	(-3.15418412e-07 -5.52994235e-07 2.20706604e-04)
34              	(-1.63891645e-07 -7.60572960e-07 2.89960010e-04)	(1.57136403e-07 -2.18724403e-07 6.98818745e-05)	(-3.21028049e-07 -5.41848557e-07 2.20078136e-04)
35              	(-1.30994462e-07 -6.66178046e-07 2.87148157e-04)	(1.94910264e-07 -1.36134977e-07 6.76431876e-05)	(-3.25904727e-07 -5.30043069e-07 2.19504970e-04)
36              	(-9.05574365e-08 -5.51062496e-07 2.84273988e-04)	(2.39287021e-07 -3.43260202e-08 6.52937867e-05)	(-3.29844458e-07 -5.16736475e-07 2.18980201e-04)
37              	(-5.76339807e-08 -4.25342662e-07 2.81294416e-04)	(2.75271171e-07 7.66076762e-08 6.27966936e-05)	(-3.32905152e-07 -5.01950338e-07 2.18497722e-04)
38              	(-3.43658313e-08 -2.94303880e-07 2.78284850e-04)	(3.00185552e-07 1.91960070e-07 6.02328026e-05)	(-3.34551384e-07 -4.86263950e-07 2.18052047e-04)
39              	(-6.53856518e-09 -1.47685910e-07 2.75439260e-04)	(3.28822245e-07 3.22386702e-07 5.77999605e-05)	(-3.35360810e-07 -4.70072612e-07 2.17639299e-04)
40              	(5.20034840e-08 1.40200471e-09 2.72867845e-04)	(3.87980570e-07 4.55238345e-07 5.56123857e-05)	(-3.35977086e-07 -4.53836340e-07 2.17255459e-04)
41              	(1.34875008e-07 1.54048604e-07 2.70553685e-04)	(4.71342024e-07 5.91851947e-07 5.36564498e-05)	(-3.36467016e-07 -4.37803343e-07 2.16897236e-04)
42              	(2.29624613e-07 2.98688869e-07 2.68331383e-04)	(5.66984660e-07 7.21396526e-07 5.17711730e-05)	(-3.37360046e-07 -4.22707657e-07 2.16560210e-04)
43              	(3.14171712e-07 4.16434338e-07 2.66114876e-04)	(6.53081105e-07 8.24078365e-07 4.98739560e-05)	(-3.38909392e-07 -4.07644027e-07 2.16240920e-04)
44              	(3.29883127e-07 5.04267582e-07 2.63931005e-04)	(6.69559495e-07 8.97038769e-07 4.79949588e-05)	(-3.39676369e-07 -3.92771187e-07 2.15936046e-04)
