# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(-6.60466870e-09 3.97782346e-09 -4.35995253e-05)	(-1.73260305e-09 1.56800971e-09 6.01725570e-07)	(-4.87206564e-09 2.40981374e-09 -4.42012508e-05)
2               	(-1.05689074e-08 -8.26447766e-09 -3.81691246e-05)	(-6.77354613e-09 -9.69449249e-09 1.22745246e-06)	(-3.79536129e-09 1.43001483e-09 -3.93965770e-05)
3               	(-1.26010006e-08 -1.08953874e-08 -3.53582642e-05)	(-9.63656492e-09 -1.21134605e-08 1.46905970e-06)	(-2.96443572e-09 1.21807313e-09 -3.68273239e-05)
4               	(-8.82619699e-09 -4.17076219e-09 -3.35696332e-05)	(-6.44325156e-09 -5.19906406e-09 1.41311954e-06)	(-2.38294543e-09 1.02830187e-09 -3.49827527e-05)
5               	(-8.57693991e-10 3.70352888e-09 -3.21592659e-05)	(1.17089257e-09 3.02534781e-09 1.38183509e-06)	(-2.02858656e-09 6.78181074e-10 -3.35411010e-05)
6               	(6.48405782e-09 6.66106504e-09 -3.08117935e-05)	(8.40134518e-09 6.40971834e-09 1.55745027e-06)	(-1.91728736e-09 2.51346704e-10 -3.23692437e-05)
7               	(8.73407922e-09 4.66401735e-09 -2.94930330e-05)	(1.07340742e-08 4.85861135e-09 1.90374015e-06)	(-1.99999495e-09 -1.94593996e-10 -3.13967731e-05)
8               	(6.48811748e-09 1.94347883e-09 -2.83062674e-05)	(8.66905549e-09 2.51551483e-09 2.27081551e-06)	(-2.18093801e-09 -5.72035995e-10 -3.05770829e-05)
9               	(2.81946068e-09 1.68818148e-09 -2.73454406e-05)	(5.19279678e-09 2.55552631e-09 2.52934472e-06)	(-2.37333610e-09 -8.67344834e-10 -2.98747853e-05)
10              	(1.50092400e-09 4.12067187e-09 -2.66142666e-05)	(4.02293569e-09 5.22632642e-09 2.64860522e-06)	(-2.52201169e-09 -1.10565455e-09 -2.92628718e-05)
11              	(3.72963141e-09 7.58399038e-09 -2.60384891e-05)	(6.37484320e-09 8.94742800e-09 2.68408412e-06)	(-2.64521179e-09 -1.36343763e-09 -2.87225732e-05)
12              	(7.69142556e-09 1.02016359e-08 -2.55244879e-05)	(1.04387021e-08 1.18673824e-08 2.71759081e-06)	(-2.74727658e-09 -1.66574654e-09 -2.82420787e-05)
13              	(1.12087557e-08 1.20845583e-08 -2.50172996e-05)	(1.40307883e-08 1.40946836e-08 2.79674674e-06)	(-2.82203255e-09 -2.01012524e-09 -2.78140463e-05)
14              	(1.29447843e-08 1.32109394e-08 -2.45170359e-05)	(1.58179059e-08 1.55800579e-08 2.91598995e-06)	(-2.87312153e-09 -2.36911848e-09 -2.74330259e-05)
15              	(1.32278834e-08 1.40205294e-08 -2.40552593e-05)	(1.61322004e-08 1.67387460e-08 3.03875930e-06)	(-2.90431691e-09 -2.71821658e-09 -2.70940186e-05)
16              	(1.28974925e-08 1.46818235e-08 -2.36613376e-05)	(1.58156644e-08 1.77355553e-08 3.13073707e-06)	(-2.91817191e-09 -3.05373180e-09 -2.67920746e-05)
17              	(1.37690058e-08 1.54740751e-08 -2.33396672e-05)	(1.67092636e-08 1.88556367e-08 3.18271892e-06)	(-2.94025780e-09 -3.38156160e-09 -2.65223861e-05)
18              	(1.58538880e-08 1.63014601e-08 -2.30728339e-05)	(1.88184723e-08 1.99952503e-08 3.20817464e-06)	(-2.96458430e-09 -3.69379014e-09 -2.62810085e-05)
19              	(1.82839888e-08 1.69206422e-08 -2.28358747e-05)	(2.12828430e-08 2.09170493e-08 3.22904146e-06)	(-2.99885415e-09 -3.99640712e-09 -2.60649162e-05)
20              	(1.92342305e-08 1.74953733e-08 -2.26145659e-05)	(2.22663143e-08 2.17770494e-08 3.25722952e-06)	(-3.03208377e-09 -4.28167609e-09 -2.58717955e-05)
21              	(1.91588125e-08 1.77873743e-08 -2.24072821e-05)	(2.22149472e-08 2.23304372e-08 3.29234127e-06)	(-3.05613469e-09 -4.54306291e-09 -2.56996234e-05)
22              	(1.83624388e-08 1.78379830e-08 -2.22213138e-05)	(2.14315813e-08 2.26264449e-08 3.32520748e-06)	(-3.06914252e-09 -4.78846193e-09 -2.55465212e-05)
23              	(1.76984344e-08 1.76495561e-08 -2.20629145e-05)	(2.07692462e-08 2.26776714e-08 3.34778440e-06)	(-3.07081171e-09 -5.02811534e-09 -2.54106989e-05)
24              	(1.75136264e-08 1.73748499e-08 -2.19322349e-05)	(2.05668045e-08 2.26348238e-08 3.35830062e-06)	(-3.05317810e-09 -5.25997388e-09 -2.52905356e-05)
25              	(1.79675039e-08 1.73933375e-08 -2.18243483e-05)	(2.09874262e-08 2.28812177e-08 3.36031361e-06)	(-3.01992235e-09 -5.48788010e-09 -2.51846620e-05)
26              	(1.86877596e-08 1.75698970e-08 -2.17330440e-05)	(2.16649944e-08 2.32779694e-08 3.35884271e-06)	(-2.97723474e-09 -5.70807237e-09 -2.50918867e-05)
27              	(1.93908563e-08 1.77430463e-08 -2.16550480e-05)	(2.23151575e-08 2.36605414e-08 3.35615055e-06)	(-2.92430128e-09 -5.91749513e-09 -2.50111986e-05)
28              	(1.98265617e-08 1.74911537e-08 -2.15907913e-05)	(2.27000127e-08 2.36079324e-08 3.35083309e-06)	(-2.87345092e-09 -6.11677867e-09 -2.49416244e-05)
29              	(2.03551961e-08 1.67009040e-08 -2.15417021e-05)	(2.31709294e-08 2.29866504e-08 3.34052661e-06)	(-2.81573329e-09 -6.28574643e-09 -2.48822287e-05)
30              	(2.09391988e-08 1.54836734e-08 -2.15079708e-05)	(2.36888546e-08 2.19147390e-08 3.32411933e-06)	(-2.74965583e-09 -6.43106561e-09 -2.48320901e-05)
31              	(2.12993897e-08 1.41615643e-08 -2.14871650e-05)	(2.39830614e-08 2.07142548e-08 3.30316767e-06)	(-2.68367166e-09 -6.55269047e-09 -2.47903326e-05)
32              	(2.14486528e-08 1.29483970e-08 -2.14759973e-05)	(2.40680446e-08 1.96002299e-08 3.28016165e-06)	(-2.61939179e-09 -6.65183288e-09 -2.47561590e-05)
33              	(2.12483555e-08 1.17311891e-08 -2.14726452e-05)	(2.38067529e-08 1.84579305e-08 3.25617265e-06)	(-2.55839746e-09 -6.72674135e-09 -2.47288178e-05)
34              	(2.09288314e-08 1.01785390e-08 -2.14759815e-05)	(2.34268467e-08 1.69653460e-08 3.23158832e-06)	(-2.49801536e-09 -6.78680706e-09 -2.47075698e-05)
35              	(2.04274774e-08 7.96869468e-09 -2.14856641e-05)	(2.28757356e-08 1.48007637e-08 3.20603902e-06)	(-2.44825821e-09 -6.83206902e-09 -2.46917031e-05)
36              	(1.99988145e-08 4.63953656e-09 -2.15010751e-05)	(2.24072280e-08 1.14937071e-08 3.17943882e-06)	(-2.40841352e-09 -6.85417050e-09 -2.46805139e-05)
37              	(1.93237622e-08 8.52905946e-10 -2.15216916e-05)	(2.17036523e-08 7.70992472e-09 3.15164259e-06)	(-2.37989016e-09 -6.85701877e-09 -2.46733342e-05)
38              	(1.82332499e-08 -2.41183507e-09 -2.15459056e-05)	(2.05965860e-08 4.43460216e-09 3.12360502e-06)	(-2.36333605e-09 -6.84643723e-09 -2.46695106e-05)
39              	(1.77830239e-08 -5.25339528e-09 -2.15709003e-05)	(2.01348811e-08 1.57073287e-09 3.09750770e-06)	(-2.35185725e-09 -6.82412815e-09 -2.46684080e-05)
40              	(1.81097279e-08 -8.60396107e-09 -2.15948775e-05)	(2.04683034e-08 -1.80553402e-09 3.07460449e-06)	(-2.35857550e-09 -6.79842705e-09 -2.46694820e-05)
41              	(1.93553734e-08 -1.31907676e-08 -2.16174179e-05)	(2.17267392e-08 -6.41229954e-09 3.05479771e-06)	(-2.37136581e-09 -6.77846810e-09 -2.46722156e-05)
42              	(2.07903151e-08 -1.84235744e-08 -2.16400304e-05)	(2.31812352e-08 -1.16562965e-08 3.03610061e-06)	(-2.39092006e-09 -6.76727794e-09 -2.46761310e-05)
43              	(2.24707345e-08 -2.41088450e-08 -2.16633749e-05)	(2.48733304e-08 -1.73521827e-08 3.01742462e-06)	(-2.40259589e-09 -6.75666225e-09 -2.46807996e-05)
44              	(2.33553196e-08 -2.96130130e-08 -2.16871670e-05)	(2.57524253e-08 -2.28674909e-08 2.99867181e-06)	(-2.39710565e-09 -6.74552208e-09 -2.46858388e-05)
45              	(2.28307772e-08 -3.42748144e-08 -2.17096206e-05)	(2.52020305e-08 -2.75430185e-08 2.98128618e-06)	(-2.37125323e-09 -6.73179583e-09 -2.46909068e-05)
46              	(2.18631459e-08 -3.75908830e-08 -2.17290482e-05)	(2.42016045e-08 -3.08754482e-08 2.96665919e-06)	(-2.33845858e-09 -6.71543478e-09 -2.46957074e-05)
47              	(2.19341484e-08 -3.98318534e-08 -2.17456054e-05)	(2.42564939e-08 -3.31329913e-08 2.95438306e-06)	(-2.32234548e-09 -6.69886217e-09 -2.46999884e-05)
48              	(2.40602865e-08 -4.20752930e-08 -2.17613925e-05)	(2.63765206e-08 -3.54039690e-08 2.94212322e-06)	(-2.31623412e-09 -6.67132391e-09 -2.47035157e-05)
49              	(2.73382974e-08 -4.53276474e-08 -2.17773629e-05)	(2.96621696e-08 -3.86960946e-08 2.92874052e-06)	(-2.32387218e-09 -6.63155281e-09 -2.47061034e-05)
50              	(3.07073510e-08 -4.93552522e-08 -2.17927663e-05)	(3.30570235e-08 -4.27886368e-08 2.91482255e-06)	(-2.34967253e-09 -6.56661544e-09 -2.47075889e-05)
